Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1970 [YR1970]
St. Vincent and the Grenadines,VCT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1515.48192936079,1581.89899919673
Sub-Saharan Africa (all income levels),SSF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,707.403947320562,892.217966996461
Sudan,SDN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,507.973684025297,450.677396351861
Suriname,SUR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Swaziland,SWZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,880.629280216048
Sweden,SWE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,15635.04029712,22806.2495981481
Switzerland,CHE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Syrian Arab Republic,SYR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,563.06506953272,676.822915151861
"Taiwan, China",TWN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Tajikistan,TJK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Tanzania,TZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Thailand,THA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,380.853300967859,619.846670715364
Timor-Leste,TLS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Togo,TGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,272.528401579266,452.320246263803
Tonga,TON,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Trinidad and Tobago,TTO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,4402.36429916542,6291.69370895879
Tunisia,TUN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,1132.44356593025
Turkey,TUR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,2345.64432426872,3137.05122043044
Turkmenistan,TKM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Turks and Caicos Islands,TCA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Tuvalu,TUV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Uganda,UGA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Ukraine,UKR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
United Kingdom,GBR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,14233.7190232494,17780.8222901279
